id,tag,cleaner_description
11,DE,data engineer чем предстоит заниматься разработка хранилищ данных витрин данных проектирование разработка и поддержка etl процессов контроль качества загружаемых данных ручные и автоматические тесты интеграция новых источников ожидания от кандидата опыт работы на позиции data engineer от 2 лет хорошее знание sql python опыт построения витрин данных опыт работы с teradata postgresql greenplum опыт использования etl инструментов apache airflow
12,DE,лида инженеров данных в выстраивании эффективной работы на стыке инженерии данных и бизнеса команду инженеров и создать процессы которые обеспечат надёжную связь между данными и бизнесом в различных продуктовых и аналитических командах помогая всему звуку понимать и использовать данные максимально эффективно организация и оптимизация процессов работы инженеров данных внутри продуктовых и аналитических команд онбординг обучение и управление ресурсами бизнес инженеров данных стандартизация и контроль практик разработки обеспечение высокого качества и доступности данных данных руководство созданием и оптимизацией пайплайнов данных контроль соблюдения регламентов и архитектурных стандартов обеспечение инженерной поддержки продуктовым командам для решения конкретных бизнес задач тесное сотрудничество с продуктовыми и аналитическими командами для обеспечения эффективного использования данных в процессе принятия решений уверенные навыки разработки spark sql trino airflow s3 python способность эффективно общаться и взаимодействовать с бизнесом опыт внедрения и контроля стандартов разработки опыт работы с моделированием и обеспечением качества данных глубокое понимание методологий анализа данных и процессов etl навыки взаимодействия с продуктовыми и аналитическими командами самостоятельность проактивность и инициативность в предложении улучшений и оптимизации процессов знание алгоритмов анализа данных и способность применять их для решения конкретных бизнес задач знакомство с соответствующими инструментами и библиотеками для анализа данных такими как pandas scikit learn или их аналогами будет плюсом понимание принципов децентрализованной архитектуры данных и подходов data mesh управления командой в условиях матричного подчинения опыт работы с dbt
13,DE,позволит обеспечить доступ к data driven решениям всем сотрудникам компаний при построении платформы мы нацеливаемся на применение гибкой архитектуры data lakehouse и open source технологий если ты любишь разбираться в архитектуре хранилищ данных и интеграционных процессах ценишь чистоту простоту и понятность в данных и программном окружении понимаешь как данные встраиваются в процесс принятия решений изучение текущей инфраструктуры и оптимизация сбора и обработки данных поступающих из различных источников участие в проектировании архитектуры хранилища реализация организация и поддержка объектов на всех слоях хранилища разработка etl пайплайнов разработка и доработка интеграционных элементов коннекторов внутренних сервисов организация мониторинга работы хранилища и качества данных управление доступом к данным разработка и поддержка ролевой модели поддержка аналитиков в вопросах оптимизации и документирования со стороны платформы взаимодействие с командами разработки и аналитики на предмет создания оптимальной и удобной структуры хранения и обработки данных комплексное понимание архитектуры аналитических решений понимание работы различных субд sql nosql oltp olap и современной it инфраструктуры infrastructure as code контейнеризация облачные решения понимание особенностей распределенного хранения и обработки данных уверенное знание хотя бы одного языка программирования python java углубленное знание sql понимание подходов к организации процессов разработки ci cd devops понимание принципов data governance основ управления качеством данных подхода данные как продукт
14,DE,команде системных администраторов основная задача команды обеспечение непрерывности и бесперебойности работы высоконагруженных систем и баз данных проект связан с администрированием баз данных postgresql для задач разработки по и предполагает работу в сотрудничестве с разработчиками бд по созданию и сопровождению тестовых баз оптимизации запросов анализу производительности и поиску оптимальных и альтернативных способов решения поступающих задач а также участие в интеграционных проектах совместно с командой инфраструктурной платформы задачи установка настройка эксплуатация мониторинг состояния субд postgresql диагностика устранение сбоев обеспечение бесперебойной работы и повышение надежности и доступности эксплуатируемых баз данных резервное копирование клонирование и восстановление бд аналитика производительности бд выявление и устранение проблем производительности администрирование unix на уровне dba задачи на стыке администрирования и devops написание скриптов автоматизации опыт администрирования бд разных версий postgresql и оптимизации sql запросов знание архитектуры и механизмов функционирования субд postgresql операционных систем семейства unix продвинутый пользователь английского на уровне чтения технической документации структурированного языка запросов sql общих принципов работы какого либо семейства серверов приложений weblogic websperejbosstomcat и т д их взаимодействия с бд
15,DE,dba обеспечение отказоустойчивости и доступности баз данных mysql postgresql clickhouse поддержка etl систем резервное копирование восстановление из резервных копий мониторинг оптимизация производительности бд отладка troubleshooting обеспечение информационной безопасности бд взаимодействие с командой разработчиков бд подготовка и выгрузка данных для отдела аналитики опыт работы с различными типами субд mysql postgresql clickhouse mongodb redis понимание принципов работы субд широкий кругозор в этой области опыт работы с etl системами и системами отчетности понимание и практический опыт построения отказоустойчивых систем опыт работы с системами управления конфигурациями ansible уверенное знание sql будет плюсом опыт работы с сервисами очередей rabbitmq kafka понимание принципов работы ci cd систем контроля версий у нас gitlab опыт работы с системами виртуализации системами управления контейнерами практический опыт обработки большого объема логов
16,DE,data engineering team lead работать с данными независимо от их формата метода хранения и эксплуатации концепции infrastructure as code iac и состоит из нескольких независимых программных продуктов и сервисов на базе jvm scala и kubernetes она обеспечивает высокий уровень потоковой обработки и хранения данных управления доступом и метаданными а также контролем их использования в периметре частных облачных сред технологический стек языки программирования scala python обработка и хранение данных spark kafka clickhouse cassandra elasticsearch прочие технологии и фреймворки finagle jackson scalatest docker задачи техническое руководство группой разработчиков декомпозиция задач ревью кода реализация компонентов платформы связанных с обработкой больших данных реализация распределенных алгоритмов на больших данных и внедрение моделей машинного обучения формирование и обработка больших наборов данных участие в найме и обучении команды участие в разработке архитектуры платформы наши ожидания профильное образование информационные технологии статистика математика опыт коммерческой разработки от 5 7 лет понимание принципов современной разработки в сфере big data достоинств и недостатков различных фреймворков знание особенностей реализации различных алгоритмов и структур данных будет плюсом опыт технического руководства командой опыт работы с apache spark flink kafka опыт работы с распределенными бд cassandra hbase elasticsearch и т д глубокое понимание особенностей архитектуры jvm
17,DE,проектировать разрабатывать и поддерживать оркестратор на базе apache airflow участвовать в выборе используемых технологий и компонентов внедрять и сопровождать технические решения автоматизация сервисов мониторинг работа с тейблспейсами создание учетных записей и прочее писать техническую документацию разрабатываемых решений уверенное владение python backend на flask опыт работы с docker опыт работы с kubernetes на уровне создания конфигурирования приложения в кластере опыт работы с teamcity создание управление ci cd процессами будет плюсом опыт работы с субд знание bash опыт работы с большими данными hadoop spark kafka
18,DE,разработка и настройка механизмов управления и оркестрации etl elt процессами поддержка и продуктивизация скриптов etl python разработка интеграционного взаимодействия rest api разработка скриптов трансформации данных разработка и поддержка интеграционных потоков c различными источниками данных airflow apache nifi решения проблем эксплуатации управление местом зависшие запросы мониторинг производительности установка настройка сетевого взаимодействия выполнение требований к формату данных предобработка входящих данных из систем источников на этапе экстракции данных высшее образование it техническое опыт работы с etl как промышленные так и самописные инструменты опыт разработки и настройка механизмов управления и оркестрации etl elt процессами опыт поддержки и продуктивизация скриптов etl python опыт разработки интеграционного взаимодействия rest api опыт dba в части улучшения производительности субд
19,DE,разработкой внедрением и сопровождением собственной субд на основе open source решения postgresql требования по производительности надежности и кибербезопасности как внутренние так и требования внешних регуляторов нам предстоит спланировать и мигрировать на собственную субд все основные автоматизированные системы компании а это тысячи инсталляций в различных катастрофоустойчивых конфигурациях миграция происходит в основном с самых популярных субд oracle ms sql postgresql vanilla инженеры эксплуатации с опытом сопровождения субд предпочтительно postgresql администрировать backup recovery performance high availability monitoring и т д баз данных postgres pangolin банка в полном объеме автоматизировать процессы администрирования баз данных postgres pangolin банка принципы работы реляционных баз данных sql написание запросов требуемых для дба в работе оптимизация производительности на уровне экземпляра запроса операционной системы linux с точки зрения дба инструменты и стратегии резервирования баз данных приветствуются навыки написания технической документации необходимый опыт опыт работы в сфере сопровождения администрирования баз данных
20,DE,postgresql в виде сервиса для команд разработки предоставление новых кластеров postgresql командам разработки накопление экспертизы автоматизация знаний по сопровождению и внедрение их на все кластеры этого вида бд анализ производительности кластеров бд и поиск узких мест оптимизация и тюнинг запросов конфигурации мониторинг postgresql компонентов его стека и ос linux участие в дизайн ревью консультирование проектов в выборе оптимальной для поставленной задачи базы данных работа в команде обмен опытом совместное владение и управление знаниями формирование целей развития группы бд используемые технологии и практики ansible python git postgresql etcd patroni pgbouncer haproxy keepalived barman filebeat diamond telegraf linux teamcity bash graphite grafana sentry gitlab ci опыт проектирования и сопровождения высоконагруженных кластеров postgresql понимание основ реляционных баз данных построение и оптимизация индексов знание типов данных и специфики работы с ними опыт оптимизации sql запросов навыки работы с системой резервного копирования postgresql знания и опыт работы с ос linux centos ubuntu almalinux опыт автоматизации процессов сопровождения ansible bash python и др опыт работы с etcd patroni pgbouncer haproxy keepalived с системой контроля версий git с системами мониторинга zabbix graphite
21,DMS,менеджер по маректингу product marketing manager разработка и реализация продуктовой стратегии участие в разработке и выводе новых продуктов на рынок продвижение продукции стм участие в разработке стратегии маркетинговой коммуникации по продукту создание rich контента проработка карточек товара написание статей и сценариев анализ abc bcg анализ рынка оценка перспектив и направлений его развития оценка и анализ конкурентной продукции ценообразование модельного ряда анализ ассортимента и управление ассортиментной политикой преимуществом будет опыт участия в разработке и выводе на рынок новой продукции в промышленном сегменте мы попросим на собеседовании рассказать об этом умение говорить цифрами опираться на аналитику опыт работы в производственно торговой компании с развитой дилерской и филиальной сетью от 3 лет профильное высшее образование уверенное владение 1с вы можете построить динамику продаж конкретному клиенту высшее образование грамотная устная и письменная речь широкий кругозор креативность свежий взгляд самостоятельность инициативность
22,DMS,продакт маркетинг менеджера который будет отвечать за привлечение формировать стратегию привлечения и развивать направление строить продуктовые воронки и отвечать за рост конверсий внутри них этапы с0 и с1 воронки растить количество регистраций по каналам привлечения проектировать и проводить эксперименты на посадочных страницах для роста конверсии в регистрацию находить новые каналы продвижения и контролировать работу с текущими каналами проводить исследования конкурентов рынка пользователей ставить задачи кросс командам аналитикам командам маркетинга и разработки опыт работы с digital продуктом от 2 лет ты используешь системный подход при проверке продуктовых гипотез на основе аналитики исследований и логики ставишь в приоритет построение отличного пользовательского опыта умеешь контролировать сроки и качество исполнения работу над продуктом как развитие собственного бизнеса насмотренность в дизайне и текстах опыт в маркетинге и работе с упаковкой продуктов работа в edtech
23,DMS,отдела маркетинга специалиста по контекстной рекламе директолога создание и ведение рекламных кампаний в яндекс директ google adwords подбор ключевых фраз подготовка рекламных объявлений быстрых ссылок уточнений описаний фотографий видео загрузка кампаний прохождение модерации регулярный мониторинг и анализ эффективности рекламных кампаний оперативное внесение изменений в них текущие работы с действующими кампаниями минусовка проверка посадочных отключение запросов по товарам если их нет в наличии обновление текстов корректировка заголовков web аналитика яндекс метрика google analitics отчетность по рекламным кампаниям контроль расходования бюджета на контекстную рекламу оптимизация затрат конкурентный анализ и предложения по контрмерам поиск и тестирование новых рекламных инструментов контекстной рекламы имеет высшее образование либо среднее специальное работал с системами яндекс директ и google adwords знает и успешно использовал в работе системы аналитики яндекс метрика и google analitics принципы работы счетчиков настройки сегментов и аудиторий построение отчетов умеет настраивать ретаргетинг опытный пользователь excel и работал с большими объемами данных обладает аналитическим складом ума
24,DMS,product manager обеспечивающую полный цикл операций команда сро product manager cje cje разработка и запуск продукта с нуля подготовка согласование материалов на коллегиальные органы ценовые неценовые параметры формирование бизнес требований по доработкам по формирование гипотезы и создание дизайна экспериментов для их проверки тестирование доработок по со стороны бизнеса опыт работы в продуктовой аналитике развитии запуске продуктов
25,DMS,направление оптимизации конверсий и пройдёт с нами путь от 100 млн продаж до 1 млрд продаж в месяц создавать и оптимизировать лендинги формы захвата ctas лидмагниты и прочие элементы воронок для кратного роста romi воронок привлечения выстроить процесс создания ценности как основы маркетинговой воронки подарки трипваеры мини продукты маркетинг через реальную ценность создать cjm прогрева холодных клиентов посадки цепочки коммуникаций сегментация базы стратегия работы с сегментами тестировать и запускать новые продукты от новых бесплатников до новых профессий и даже бизнес моделей заказывать end to end аналитику воронок cr c0 c1 cpl romi измерять и управлять всеми ключевыми точками конверсии от визита до оплаты непрерывно искать сильные гипотезы улучшений этапов работая с аналитикой исследуя конкурентов и проводя custdev пользователей выстроить процесс a b тестирования сильные гипотезы простые проверки стат значимые результаты раскатка и систематизация знаний знать пользователя лучше чем родных боли потребности страхи мотиваторы этапы зрелости как говорить что продавать работать в команде как с ceo компании в вопросах позиционирования так и с отделами дизайна разработки аналитики руководителями каналов маркетинга характер предпринимателя digital product или digital marketing оптимизации конверсий или на аналогичной позиции опыт работы с цифровой аналитикой a b тестированием знает ключевые метрики воронок заказывает и читает дашборды работает с яндекс метрикой базовое понимание принципов работы ключевых каналов маркетинга их отличий готовность работы в партнёрстве с руководителями каналов сильные аналитические навыки анализирует конкурентов выясняет их причины роста разбирается в проблемах и вычленяет ядро эмпатию и глубокий бытовой интеллект умеет считывать пользователя понимает его хотелки и перестраивает все материалы сквозь эту призму может написать сильную страницу продающего текста или нарисовать концепт лендинга в miro
26,DMS,digital маркетинга развитии наших продуктов разработка продуктовой стратегии образовательных онлайн продуктов для врачей анализ конкурентов для постоянной оптимизации конкурентоспособности продукта выдвигать и проверять продуктовые гипотезы определять дальнейшие направления развития продукта планировать roadmap рассчитывать кейсы защищать перед стейкхолдерами исследование потребностей клиента проводить custdev собирать обратную связь определять потребности и боли клиентов формирование ключевых метрик продукта nps churn rate ltv etc разработка roadmap формирование фич листа исследование опыта существующих клиентов разработка vision продукта и концепции тактики выведения продукта на рынок разработка бизнес моделей для продукта опыт работы в digital маркетинге от 1 года понимание и экспертиза в основных каналах продвижения sem медийная реклама реклама в социальных сетях smm seo e mail быстрая проверка гипотез организация тестирования поиск новых идей для вывода продукта на рынок понимание продуктовой аналитики умение мыслить метриками принимать решения на основе данных аналитические навыки умение работать с большими массивами информации
27,DMS,cje ипотечный продукт cje в компанию обеспечивающую полный цикл операций с недвижимостью команда сро product manager cje и сейчас в поиске еще одного cje уровня middle работаем по методологии agile чем предстоит заниматься разработка и запуск ипотечных продуктов банка со стороны бизнеса для премиум клиентов подготовка согласование материалов на коллегиальные органы ценовые неценовые параметры формирование бизнес требований по доработкам по формирование гипотезы и создание дизайна экспериментов для их проверки тестирование доработок по со стороны бизнеса информационное сопровождение продукта информирование сети продаж написание памяток взаимодействие со смежными подразделениями и внешними партнерами контрагентами что ожидаем от тебя опыт работы в банковском секторе опыт работы в продуктовой аналитике развитии запуске продуктов опыт работы в ms excel структурирование информации сводные таблицы набор базовых функций составление формул и связей из показателей
28,DMS,product marketing manager для работы по продвижению технически сложных продуктов и платформенных решений компании проводить анализ рынка и конкурентного окружения по линейке продуктов прорабатывать конкурентную стратегию разрабатывать рекомендации прогнозы развитие динамики важных показателей и маркетинговые стратегии заниматься подготовкой аналитических материалов по основным трендам рынка телекоммуникаций и финансового сектора а также обзоров целевых рынков изучать функциональные особенности продвигаемого продукта разрабатывать маркетинговую документацию custdev собирать информацию о клиентах исследовать коммерческие потребности клиентов и взаимодействовать с бизнес подразделениями клиентов исследование roadmap и перспективных идей что для нас важно роли product marketing manager готовность разрабатывать документацию для коммерческих предложений описание идеи функциональный дизайн пользовательские инструкции и т д техническая грамотность знание основных технических и технологических трендов умение строить долгосрочные взаимовыгодные партнерские отношения отличные коммуникативные навыки и аналитические способности когда даже самые сложные ит термины можно описать простыми словами и примерами дополнительно оценим высшее техническое образование опыт развития программных b2b платформ low code no code автоматизация процессов
29,DMS,запускать и оптимизировать рекламные кампании в яндексдиректе авито и интернетмагазине разработкой конверсионных лендингов планирование и проведение ав тестирования настройка email маркетинга создание автоцепочек тестирование писем анализ их эффективности понимание механизмов seoоптимизации сайта seoаудит сайта подготовка тз постановка и контроль подрядчиков имеете успешный опыт привлечения лидов опыт работы с большими бюджетами на трафик умение расставить приоритеты и укладываться в срок без напоминаний аналитическое мышление и умение систематизировать информацию данная вакансия подойдёт кандидатам рассматривающим для себя следующие вакансии маркетолог интернетмаркетолог digitalмаркетолог
30,DMS,digital маркетинга продакт маркетинг менеджер по программы лояльности опыт работы в bigtech в направлении продуктового маркетинга будет преимуществом опыт работы создания программы лояльности сильные коммуникативные навыки умение работать в большой команде ставить задачи и отвечать за результат умение самостоятельно выявить потребность сформулировать гипотезы и критерии проверки провести анализ и презентовать результат хорошие аналитические способности креативность и умение находить инсайты из данных формировать стратегию развития продукта программа лояльности и отвечать за процесс его разработки с командой it лидировать развитие единой программы лояльности от расчета бизнес кейсов до подготовки бизнес требований и cj отвечать за позиционирование программы лояльности на рынке и внутри компании осуществлять интеграцию маркетинговых бизнес процессов в продукт создавать новые механики программы лояльности и оптимизировать их формировать систему kpi вместе с командой аналитиков считать анализировать экономику продукта строить прогнозы достижения метрик и отвечать за их рост искать новые источники развития и проверять гипотезы вместе с командой аналитиков и маркетинга взаимодействовать с кросс функциональными командами маркетинг коммерция разработка e commerce и др
31,DS,создание моделей машинного обучения для широкого спектра задач нефтегазового бизнеса от классификаторов на табличных данных до cv в экологии тестирование доработка и внедрение моделей в production работа со специалистами для поиска узких мест бизнес процессов и подбора решений на базе ml опыт реализации и применения моделей машинного обучения понимание основных методов и алгоритмов machine learning и deep learning cv nlp язык программирования python владение sklearn scipy pytorch git docker будет являться преимуществом владение dvc ml flow способность ознакомиться с новой ml статьей и реализовать предлагаемый в ней подход опыт работы с бд
32,DS,data scientist nlp участие во всех циклах разработки моделей машинного обучения поддержка существующих моделей и анализ данных об их работе сбор подготовка и обработка различных источников данных решение подзадач llm driven проекта умного ассистента участие в формировании задач опытом работы с nlp от полугода пониманием принципов работы трансформеров и базовых подходов в разработке с llm shot lora rag reasoning rlhf и т д опытом работы с библиотеками pytorch transformers и др умением работать с различными источниками данных умение обрабатывать и анализировать данные из различных источников включая базы данных файлы api и т д опытом работы с sql git docker знание и опыт работы с основными технологиями и инструментами для работы с данными и разработки
33,DS,nlp специалиста суммаризация кластеризация и теги отзывов размещенных на маркетплейсе учет жалоб продавцов на отзывы определение достоверности жалоб и учитывать ее для исключения отзывов из расчета рейтинга определять и исключать отзывы не относящиеся к товарам продавцам анализ и расчет полезности по содержанию и читаемости навыки разработки на python опыт разработки nlp моделей как классических так и продвинутых ner pos tagging знание sota подходов умение их объяснить команде понимание архитектуры и принципов устрои ства и обучения больших лингвистических моделеи llm генеративных трансформеров типа gpt bert tokenizing position encoding masked multihead attention batch layer normalization и т д опыт работы с docker и clickhouse
34,DS,разработкой моделей оценки кредитного риска в корпоративном сегменте скоринг и monte carlo разработкой cv решений на основе фотографий с объектов строительства разработкой nlp решений на основе данных документооборота банка написанием документации о результатах моделирования участием во внедрении моделей в промышленный контур работать с ds стэком python scikit learn numpy pandas oracle postgresql docker matplotlib seaborn опыт от 3 лет в ml обязательно знать классические алгоритмы лог рег деревья и тд опыт реализации задачи от первоначальной идеи до работающего сервиса опыт в подготовке моделей к использованию в промышленном контуре flask docker pep 8 fast api проч знание теории вероятностей и математической статистики опыт в nlp cv кредитном скоринге построении monte carlo моделей
35,DS,ml инженер проведение исследований поведения пользователей продумывание и разработка алгоритмов работы сервисов на основе nlp продумывание и разработка алгоритма работы участие в оценке и интерпретации экспериментов в продукте python sklearn seaborn numpy scipy statsmodels pytorch clickhouse postgresql redis etc airflow flaskapi fastapi bitbucket jira confluence знание основ математической статистики и основных методов расчета a b тестов а также интерес к другим методикам bootstrap cuped diff in diff и др глубокое понимание области nlp опыт вывода нейронных сетей в продакшен знание методов ускорения инференса нейронных сетей знание методов ранжирования уверенное владение и опыт разработки на python уверенное владение sql опыт в разработке и выкатке в продакшн ml моделей
